id,day,date,teamid,dept,l_id,p_id,notes,amount
578,0,,400917,FIN,,,"LAN_Inital LAN_Cash",1500000
579,0,,400918,FIN,,,"LAN_Inital LAN_Cash",1500000
580,0,,400919,FIN,,,"LAN_Inital LAN_Cash",1500000
581,1,2025-01-01,400917,PMN,,,LAN_Salary,-1400
582,1,2025-01-01,400917,MKT,,,LAN_Salary,-1400
583,1,2025-01-01,400918,PMN,,,LAN_Salary,-1400
584,1,2025-01-01,400918,MKT,,,LAN_Salary,-1400
585,1,2025-01-01,400919,PMN,,,LAN_Salary,-1400
586,1,2025-01-01,400919,MKT,,,LAN_Salary,-1400
587,2,2025-01-02,400917,RTL,3,,LAN_Recruit,-60000
588,2,2025-01-02,400917,RTL,1,,LAN_Recruit,-60000
589,2,2025-01-02,400917,RTL,7,,LAN_Recruit,-60000
590,2,2025-01-02,400917,RTL,2,,LAN_Recruit,-60000
591,2,2025-01-02,400917,RTL,5,,LAN_Recruit,-60000
592,2,2025-01-02,400917,RTL,6,,LAN_Recruit,-60000
593,2,2025-01-02,400918,RTL,6,,LAN_Recruit,-60000
594,2,2025-01-02,400918,RTL,4,,LAN_Recruit,-60000
595,2,2025-01-02,400918,RTL,1,,LAN_Recruit,-60000
596,2,2025-01-02,400919,RTL,6,,LAN_Recruit,-60000
597,2,2025-01-02,400919,RTL,2,,LAN_Recruit,-60000
598,2,2025-01-02,400919,RTL,7,,LAN_Recruit,-60000
599,2,2025-01-02,400919,RTL,5,,LAN_Recruit,-60000
600,2,2025-01-02,400919,RTL,4,,LAN_Recruit,-60000
601,2,2025-01-02,400919,RTL,3,,LAN_Recruit,-60000
602,2,2025-01-02,400919,RTL,1,,LAN_Recruit,-60000
603,2,2025-01-02,400917,MKT,,,"LAN_Report LAN_Subscription",-2000
604,2,2025-01-02,400917,PMN,,,LAN_Salary,-1400
605,2,2025-01-02,400917,MKT,,,LAN_Salary,-1400
606,2,2025-01-02,400917,RTL,3,,LAN_Salary,-1400
607,2,2025-01-02,400917,RTL,1,,LAN_Salary,-1400
608,2,2025-01-02,400917,RTL,7,,LAN_Salary,-1400
609,2,2025-01-02,400917,RTL,2,,LAN_Salary,-1400
610,2,2025-01-02,400917,RTL,5,,LAN_Salary,-1400
611,2,2025-01-02,400917,RTL,6,,LAN_Salary,-1400
612,2,2025-01-02,400917,RTL,3,,LAN_Rental,-1360
613,2,2025-01-02,400917,RTL,1,,LAN_Rental,-11800
614,2,2025-01-02,400917,RTL,7,,LAN_Rental,-1600
615,2,2025-01-02,400917,RTL,2,,LAN_Rental,-1200
616,2,2025-01-02,400917,RTL,5,,LAN_Rental,-2360
617,2,2025-01-02,400917,RTL,6,,LAN_Rental,-1840
618,2,2025-01-02,400918,PMN,,,LAN_Salary,-1400
619,2,2025-01-02,400918,MKT,,,LAN_Salary,-1400
620,2,2025-01-02,400918,RTL,6,,LAN_Salary,-1400
621,2,2025-01-02,400918,RTL,4,,LAN_Salary,-1400
622,2,2025-01-02,400918,RTL,1,,LAN_Salary,-1400
623,2,2025-01-02,400918,RTL,6,,LAN_Rental,-2760
624,2,2025-01-02,400918,RTL,4,,LAN_Rental,-1560
625,2,2025-01-02,400918,RTL,1,,LAN_Rental,-3540
626,2,2025-01-02,400919,PMN,,,LAN_Salary,-1400
627,2,2025-01-02,400919,MKT,,,LAN_Salary,-1400
628,2,2025-01-02,400919,RTL,6,,LAN_Salary,-1400
629,2,2025-01-02,400919,RTL,2,,LAN_Salary,-1400
630,2,2025-01-02,400919,RTL,7,,LAN_Salary,-1400
631,2,2025-01-02,400919,RTL,5,,LAN_Salary,-1400
632,2,2025-01-02,400919,RTL,4,,LAN_Salary,-1400
633,2,2025-01-02,400919,RTL,3,,LAN_Salary,-1400
634,2,2025-01-02,400919,RTL,1,,LAN_Salary,-1400
635,2,2025-01-02,400919,RTL,6,,LAN_Rental,-1840
636,2,2025-01-02,400919,RTL,2,,LAN_Rental,-3000
637,2,2025-01-02,400919,RTL,7,,LAN_Rental,-400
638,2,2025-01-02,400919,RTL,5,,LAN_Rental,-2360
639,2,2025-01-02,400919,RTL,4,,LAN_Rental,-1040
640,2,2025-01-02,400919,RTL,3,,LAN_Rental,-1360
641,2,2025-01-02,400919,RTL,1,,LAN_Rental,-8850
642,3,2025-01-03,400917,RTL,7,1,"LAN_Procurement LAN_FinishedGood - PO ID: 724 ",-50000
643,3,2025-01-03,400917,RTL,7,2,"LAN_Procurement LAN_FinishedGood - PO ID: 724 ",-39000
644,3,2025-01-03,400917,RTL,3,1,"LAN_Procurement LAN_FinishedGood - PO ID: 719 ",-10000
645,3,2025-01-03,400917,RTL,2,1,"LAN_Procurement LAN_FinishedGood - PO ID: 716 ",-30000
646,3,2025-01-03,400917,RTL,2,2,"LAN_Procurement LAN_FinishedGood - PO ID: 716 ",-13000
647,3,2025-01-03,400917,RTL,2,3,"LAN_Procurement LAN_FinishedGood - PO ID: 716 ",-16000
648,3,2025-01-03,400917,RTL,3,3,"LAN_Procurement LAN_FinishedGood - PO ID: 713 ",-80000
649,3,2025-01-03,400917,RTL,1,1,"LAN_Procurement LAN_FinishedGood - PO ID: 711 ",-120000
650,3,2025-01-03,400917,RTL,1,2,"LAN_Procurement LAN_FinishedGood - PO ID: 711 ",-65000
651,3,2025-01-03,400917,RTL,6,1,"LAN_Procurement LAN_FinishedGood - PO ID: 707 ",-10000
652,3,2025-01-03,400917,RTL,6,2,"LAN_Procurement LAN_FinishedGood - PO ID: 707 ",-39000
653,3,2025-01-03,400917,RTL,6,3,"LAN_Procurement LAN_FinishedGood - PO ID: 707 ",-80000
654,3,2025-01-03,400917,RTL,5,1,"LAN_Procurement LAN_FinishedGood - PO ID: 706 ",-30000
655,3,2025-01-03,400917,RTL,5,3,"LAN_Procurement LAN_FinishedGood - PO ID: 706 ",-128000
656,3,2025-01-03,400918,RTL,7,,LAN_Recruit,-60000
657,3,2025-01-03,400918,RTL,6,1,"LAN_Procurement LAN_FinishedGood - PO ID: 720 ",-30000
658,3,2025-01-03,400918,RTL,6,2,"LAN_Procurement LAN_FinishedGood - PO ID: 720 ",-39000
659,3,2025-01-03,400918,RTL,6,3,"LAN_Procurement LAN_FinishedGood - PO ID: 720 ",-80000
660,3,2025-01-03,400918,RTL,4,1,"LAN_Procurement LAN_FinishedGood - PO ID: 710 ",-30000
661,3,2025-01-03,400918,RTL,4,2,"LAN_Procurement LAN_FinishedGood - PO ID: 710 ",-65000
662,3,2025-01-03,400918,RTL,4,3,"LAN_Procurement LAN_FinishedGood - PO ID: 710 ",-48000
663,3,2025-01-03,400918,RTL,1,1,"LAN_Procurement LAN_FinishedGood - PO ID: 704 ",-80000
664,3,2025-01-03,400918,RTL,1,2,"LAN_Procurement LAN_FinishedGood - PO ID: 704 ",-65000
665,3,2025-01-03,400918,RTL,1,3,"LAN_Procurement LAN_FinishedGood - PO ID: 704 ",-48000
666,3,2025-01-03,400919,RTL,3,1,"LAN_Procurement LAN_FinishedGood - PO ID: 727 ",-50000
667,3,2025-01-03,400919,RTL,3,2,"LAN_Procurement LAN_FinishedGood - PO ID: 727 ",-13000
668,3,2025-01-03,400919,RTL,3,3,"LAN_Procurement LAN_FinishedGood - PO ID: 727 ",-80000
669,3,2025-01-03,400919,RTL,6,1,"LAN_Procurement LAN_FinishedGood - PO ID: 725 ",-30000
670,3,2025-01-03,400919,RTL,6,2,"LAN_Procurement LAN_FinishedGood - PO ID: 725 ",-65000
671,3,2025-01-03,400919,RTL,6,3,"LAN_Procurement LAN_FinishedGood - PO ID: 725 ",-128000
672,3,2025-01-03,400919,RTL,2,1,"LAN_Procurement LAN_FinishedGood - PO ID: 723 ",-120000
673,3,2025-01-03,400919,RTL,2,3,"LAN_Procurement LAN_FinishedGood - PO ID: 723 ",-128000
674,3,2025-01-03,400919,RTL,1,1,"LAN_Procurement LAN_FinishedGood - PO ID: 718 ",-120000
675,3,2025-01-03,400919,RTL,1,2,"LAN_Procurement LAN_FinishedGood - PO ID: 718 ",-65000
676,3,2025-01-03,400919,RTL,1,3,"LAN_Procurement LAN_FinishedGood - PO ID: 718 ",-48000
677,3,2025-01-03,400919,RTL,7,1,"LAN_Procurement LAN_FinishedGood - PO ID: 715 ",-120000
678,3,2025-01-03,400919,RTL,5,1,"LAN_Procurement LAN_FinishedGood - PO ID: 714 ",-30000
679,3,2025-01-03,400919,RTL,5,2,"LAN_Procurement LAN_FinishedGood - PO ID: 714 ",-39000
680,3,2025-01-03,400919,FIN,,,LAN_Overdraft,500000
681,3,2025-01-03,400919,RTL,5,3,"LAN_Procurement LAN_FinishedGood - PO ID: 714 ",-128000
682,3,2025-01-03,400919,RTL,3,1,"LAN_Procurement LAN_FinishedGood - PO ID: 712 ",-30000
683,3,2025-01-03,400919,RTL,3,2,"LAN_Procurement LAN_FinishedGood - PO ID: 712 ",-39000
684,3,2025-01-03,400919,RTL,3,3,"LAN_Procurement LAN_FinishedGood - PO ID: 712 ",-128000
685,3,2025-01-03,400919,RTL,4,2,"LAN_Procurement LAN_FinishedGood - PO ID: 708 ",-104000
686,3,2025-01-03,400919,RTL,4,3,"LAN_Procurement LAN_FinishedGood - PO ID: 708 ",-80000
687,3,2025-01-03,400917,MKT,,,"LAN_Report LAN_Subscription",-2000
688,3,2025-01-03,400917,MKT,1,,"Media A",-3000
689,3,2025-01-03,400917,PMN,,,LAN_Salary,-1400
690,3,2025-01-03,400917,MKT,,,LAN_Salary,-1400
691,3,2025-01-03,400917,RTL,3,,LAN_Salary,-1400
692,3,2025-01-03,400917,RTL,1,,LAN_Salary,-1400
693,3,2025-01-03,400917,RTL,7,,LAN_Salary,-1400
694,3,2025-01-03,400917,RTL,2,,LAN_Salary,-1400
695,3,2025-01-03,400917,RTL,5,,LAN_Salary,-1400
696,3,2025-01-03,400917,RTL,6,,LAN_Salary,-1400
697,3,2025-01-03,400917,RTL,3,1,LAN_Revenue,8400
698,3,2025-01-03,400917,RTL,3,3,LAN_Revenue,14328
699,3,2025-01-03,400917,RTL,1,1,LAN_Revenue,41370
700,3,2025-01-03,400917,RTL,1,2,LAN_Revenue,20922
701,3,2025-01-03,400917,RTL,7,1,LAN_Revenue,11760
702,3,2025-01-03,400917,RTL,7,2,LAN_Revenue,10131
703,3,2025-01-03,400917,RTL,2,1,LAN_Revenue,17984
704,3,2025-01-03,400917,RTL,2,2,LAN_Revenue,5940
705,3,2025-01-03,400917,RTL,2,3,LAN_Revenue,10010
706,3,2025-01-03,400917,RTL,5,1,LAN_Revenue,9750
707,3,2025-01-03,400917,RTL,5,3,LAN_Revenue,17820
708,3,2025-01-03,400917,RTL,6,1,LAN_Revenue,2010
709,3,2025-01-03,400917,RTL,6,2,LAN_Revenue,6039
710,3,2025-01-03,400917,RTL,6,3,LAN_Revenue,10800
711,3,2025-01-03,400917,RTL,3,,LAN_Rental,-1360
712,3,2025-01-03,400917,RTL,1,,LAN_Rental,-11800
713,3,2025-01-03,400917,RTL,7,,LAN_Rental,-1600
714,3,2025-01-03,400917,RTL,2,,LAN_Rental,-1200
715,3,2025-01-03,400917,RTL,5,,LAN_Rental,-2360
716,3,2025-01-03,400917,RTL,6,,LAN_Rental,-1840
717,3,2025-01-03,400918,MKT,,,"LAN_Report LAN_Subscription",-2000
718,3,2025-01-03,400918,PMN,,,LAN_Salary,-1400
719,3,2025-01-03,400918,MKT,,,LAN_Salary,-1400
720,3,2025-01-03,400918,RTL,6,,LAN_Salary,-1400
721,3,2025-01-03,400918,RTL,4,,LAN_Salary,-1400
722,3,2025-01-03,400918,RTL,1,,LAN_Salary,-1400
723,3,2025-01-03,400918,RTL,7,,LAN_Salary,-1400
724,3,2025-01-03,400918,RTL,6,1,LAN_Revenue,1600
725,3,2025-01-03,400918,RTL,6,2,LAN_Revenue,4725
726,3,2025-01-03,400918,RTL,6,3,LAN_Revenue,9690
727,3,2025-01-03,400918,RTL,4,1,LAN_Revenue,4480
728,3,2025-01-03,400918,RTL,4,2,LAN_Revenue,21805
729,3,2025-01-03,400918,RTL,4,3,LAN_Revenue,10070
730,3,2025-01-03,400918,RTL,1,1,LAN_Revenue,17856
731,3,2025-01-03,400918,RTL,1,2,LAN_Revenue,9870
732,3,2025-01-03,400918,RTL,1,3,LAN_Revenue,4332
733,3,2025-01-03,400918,RTL,6,,LAN_Rental,-2760
734,3,2025-01-03,400918,RTL,4,,LAN_Rental,-1560
735,3,2025-01-03,400918,RTL,1,,LAN_Rental,-3540
736,3,2025-01-03,400918,RTL,7,,LAN_Rental,-1600
737,3,2025-01-03,400919,FIN,,,LAN_Overdraft,250000
738,3,2025-01-03,400919,MKT,,,"LAN_Report LAN_Subscription",-2000
739,3,2025-01-03,400919,PMN,,,LAN_Salary,-1400
740,3,2025-01-03,400919,MKT,,,LAN_Salary,-1400
741,3,2025-01-03,400919,RTL,6,,LAN_Salary,-1400
742,3,2025-01-03,400919,RTL,2,,LAN_Salary,-1400
743,3,2025-01-03,400919,RTL,7,,LAN_Salary,-1400
744,3,2025-01-03,400919,RTL,5,,LAN_Salary,-1400
745,3,2025-01-03,400919,RTL,4,,LAN_Salary,-1400
746,3,2025-01-03,400919,RTL,3,,LAN_Salary,-1400
747,3,2025-01-03,400919,RTL,1,,LAN_Salary,-1400
748,3,2025-01-03,400919,RTL,6,1,LAN_Revenue,1408
749,3,2025-01-03,400919,RTL,6,2,LAN_Revenue,4200
750,3,2025-01-03,400919,RTL,6,3,LAN_Revenue,9880
751,3,2025-01-03,400919,RTL,2,1,LAN_Revenue,20096
752,3,2025-01-03,400919,RTL,2,1,LAN_Repayment,-250000
753,3,2025-01-03,400919,RTL,2,3,LAN_Revenue,10564
754,3,2025-01-03,400919,RTL,7,1,LAN_Revenue,10400
755,3,2025-01-03,400919,RTL,5,1,LAN_Revenue,7168
756,3,2025-01-03,400919,RTL,5,2,LAN_Revenue,3990
757,3,2025-01-03,400919,RTL,5,3,LAN_Revenue,18430
758,3,2025-01-03,400919,RTL,4,2,LAN_Revenue,22225
759,3,2025-01-03,400919,RTL,4,3,LAN_Revenue,10830
