id,day,date,teamid,net_profit,trading_profit,operating_exp,sales,cash_on_hand
31,0,,400917,,,0,0,1500000
32,0,,400918,,,0,0,1500000
33,0,,400919,,,0,0,1500000
34,1,2025-01-01,400917,-2800,0,2800,0,1497200
35,1,2025-01-01,400918,-2800,0,2800,0,1497200
36,1,2025-01-01,400919,-2800,0,2800,0,1497200
37,2,2025-01-02,400917,-396160,0,396160,0,1103840
38,2,2025-01-02,400918,-197660,0,197660,0,1302340
39,2,2025-01-02,400919,-454250,0,454250,0,1045750
40,3,2025-01-03,400917,-315922,116598,432520,187264,544744
41,3,2025-01-03,400918,-224236,53284,277520,84428,821908
42,3,2025-01-03,400919,-376534,112090,489583,177944,143361
43,4,2025-01-04,400917,-189745,286635,476380,458110,602730
44,4,2025-01-04,400918,-175005,122375,297380,195654,792274
45,4,2025-01-04,400919,-293898,230130,524507,375239,55732
46,5,2025-01-05,400917,595353,1122050,527040,1828618,1811921
47,5,2025-01-05,400918,237333,554537,317440,894398,1250194
48,5,2025-01-05,400919,263964,822168,558357,1414976,811772
49,6,2025-01-06,400917,1420543,1997700,577500,3266379,2450222
50,6,2025-01-06,400918,613937,951001,337300,1593157,1441093
51,6,2025-01-06,400919,788089,1380006,592070,2506218,1539301
52,7,2025-01-07,400917,1608673,2239866,631536,3663891,2170698
53,7,2025-01-07,400918,655957,1013381,357660,1712045,1325621
54,7,2025-01-07,400919,832390,1458057,625820,2702304,1390637
55,8,2025-01-08,400917,1719312,2467841,748872,4037049,2124520
56,8,2025-01-08,400918,498290,1080808,582754,1844337,453819
57,8,2025-01-08,400919,869896,1530313,660570,2884855,1092438
58,9,2025-01-09,400917,2320749,3135218,814812,5122682,2940213
59,9,2025-01-09,400918,923386,1547498,624348,2685936,662824
60,9,2025-01-09,400919,1170266,1879433,709320,3780001,1873834
61,10,2025-01-10,400917,3012655,3899948,888452,6383269,3842976
62,10,2025-01-10,400918,1361956,2031217,669809,3616627,1467366
63,10,2025-01-10,400919,1461599,2233306,772362,4689020,2363313
64,11,2025-01-11,400917,3244214,4213047,969992,6915339,4002506
65,11,2025-01-11,400918,1450839,2165116,714825,3864061,1558784
