id,day,date,teamid,l_id,opex,dept,notes,opex_amount
581,1,2025-01-01,400917,,LAN_Salary,PMN,LAN_Salary,1400
582,1,2025-01-01,400917,,LAN_Salary,MKT,LAN_Salary,1400
583,1,2025-01-01,400918,,LAN_Salary,PMN,LAN_Salary,1400
584,1,2025-01-01,400918,,LAN_Salary,MKT,LAN_Salary,1400
585,1,2025-01-01,400919,,LAN_Salary,PMN,LAN_Salary,1400
586,1,2025-01-01,400919,,LAN_Salary,MKT,LAN_Salary,1400
587,2,2025-01-02,400917,3,LAN_HumanResource,RTL,LAN_Recruit,60000
588,2,2025-01-02,400917,1,LAN_HumanResource,RTL,LAN_Recruit,60000
589,2,2025-01-02,400917,7,LAN_HumanResource,RTL,LAN_Recruit,60000
590,2,2025-01-02,400917,2,LAN_HumanResource,RTL,LAN_Recruit,60000
591,2,2025-01-02,400917,5,LAN_HumanResource,RTL,LAN_Recruit,60000
592,2,2025-01-02,400917,6,LAN_HumanResource,RTL,LAN_Recruit,60000
593,2,2025-01-02,400918,6,LAN_HumanResource,RTL,LAN_Recruit,60000
594,2,2025-01-02,400918,4,LAN_HumanResource,RTL,LAN_Recruit,60000
595,2,2025-01-02,400918,1,LAN_HumanResource,RTL,LAN_Recruit,60000
596,2,2025-01-02,400919,6,LAN_HumanResource,RTL,LAN_Recruit,60000
597,2,2025-01-02,400919,2,LAN_HumanResource,RTL,LAN_Recruit,60000
598,2,2025-01-02,400919,7,LAN_HumanResource,RTL,LAN_Recruit,60000
599,2,2025-01-02,400919,5,LAN_HumanResource,RTL,LAN_Recruit,60000
600,2,2025-01-02,400919,4,LAN_HumanResource,RTL,LAN_Recruit,60000
601,2,2025-01-02,400919,3,LAN_HumanResource,RTL,LAN_Recruit,60000
602,2,2025-01-02,400919,1,LAN_HumanResource,RTL,LAN_Recruit,60000
603,2,2025-01-02,400917,,LAN_Marketing,MKT,"LAN_Report LAN_Subscription",2000
604,2,2025-01-02,400917,,LAN_Salary,PMN,LAN_Salary,1400
