id,day,date,teamid,dept,l_id,p_id,product,unit_sold,c_id,client,price,cogs,trxid,tpe,sales_amount
697,3,2025-01-03,400917,RTL,3,1,Americano,280,,,30.00,2800.00,,LAN_Retail,8400
698,3,2025-01-03,400917,RTL,3,3,"Bubble Milk Tea",398,,,36.00,6368.00,,LAN_Retail,14328
699,3,2025-01-03,400917,RTL,1,1,Americano,1379,,,30.00,13790.00,,LAN_Retail,41370
700,3,2025-01-03,400917,RTL,1,2,"Hot Chocolate",634,,,33.00,8242.00,,LAN_Retail,20922
701,3,2025-01-03,400917,RTL,7,1,Americano,392,,,30.00,3920.00,,LAN_Retail,11760
702,3,2025-01-03,400917,RTL,7,2,"Hot Chocolate",307,,,33.00,3991.00,,LAN_Retail,10131
703,3,2025-01-03,400917,RTL,2,1,Americano,562,,,32.00,5620.00,,LAN_Retail,17984
704,3,2025-01-03,400917,RTL,2,2,"Hot Chocolate",180,,,33.00,2340.00,,LAN_Retail,5940
705,3,2025-01-03,400917,RTL,2,3,"Bubble Milk Tea",286,,,35.00,4576.00,,LAN_Retail,10010
706,3,2025-01-03,400917,RTL,5,1,Americano,325,,,30.00,3250.00,,LAN_Retail,9750
707,3,2025-01-03,400917,RTL,5,3,"Bubble Milk Tea",495,,,36.00,7920.00,,LAN_Retail,17820
708,3,2025-01-03,400917,RTL,6,1,Americano,67,,,30.00,670.00,,LAN_Retail,2010
709,3,2025-01-03,400917,RTL,6,2,"Hot Chocolate",183,,,33.00,2379.00,,LAN_Retail,6039
710,3,2025-01-03,400917,RTL,6,3,"Bubble Milk Tea",300,,,36.00,4800.00,,LAN_Retail,10800
724,3,2025-01-03,400918,RTL,6,1,Americano,50,,,32.00,500.00,,LAN_Retail,1600
725,3,2025-01-03,400918,RTL,6,2,"Hot Chocolate",135,,,35.00,1755.00,,LAN_Retail,4725
726,3,2025-01-03,400918,RTL,6,3,"Bubble Milk Tea",255,,,38.00,4080.00,,LAN_Retail,9690
727,3,2025-01-03,400918,RTL,4,1,Americano,140,,,32.00,1400.00,,LAN_Retail,4480
